""
,lstm_size,num_lstm,dropout,activation,recurrent_activation,optimizer,rmse,mape
,lstm_size,num_lstm,dropout,activation,recurrent_activation,optimizer,rmse,mape
,lstm_size,num_lstm,dropout,activation,recurrent_activation,optimizer,rmse,mape
3,20,1,0.0,elu,elu,adam,0.1766566089598896,6.252576781820933
4,40,1,0.30000000000000004,elu,elu,adam,0.17249947147594274,6.308408792304132
5,20,1,0.30000000000000004,elu,sigmoid,adam,0.17962852501835544,6.346510721208586
6,40,1,0.30000000000000004,relu,sigmoid,adadelta,0.1622545107244635,6.4449079574629415
7,20,1,0.0,elu,elu,adam,0.15765891746471572,6.4600129856437984
8,20,1,0.0,elu,elu,adam,0.16818497266292373,6.618817749877037
9,20,1,0.30000000000000004,elu,sigmoid,adadelta,0.16616469328650513,6.731224763577733
0,20,1,0.0,elu,elu,adam,0.16632866223575757,5.8892612095881995
1,20,1,0.30000000000000004,elu,elu,adam,0.16964758653584644,5.897902071284752
2,20,1,0.2,elu,elu,adam,0.164069677508709,5.934586572216478
3,20,1,0.0,elu,elu,adam,0.16601326399132674,5.972495060642524
4,20,1,0.30000000000000004,elu,elu,adam,0.16850904589923232,6.007505234747793
5,20,1,0.0,elu,elu,adam,0.17833513169892456,6.108489876323461
6,20,1,0.30000000000000004,elu,elu,adam,0.1650887320884472,6.435513942143317
7,20,1,0.2,elu,elu,adam,0.19267783137038536,6.548948702791295
8,20,1,0.30000000000000004,elu,elu,adam,0.16831020036891092,6.915977681874737
9,20,1,0.30000000000000004,elu,elu,adam,0.1670235657425173,7.131230904587498
0,20,1,0.0,elu,elu,adam,0.16632866223575757,5.8892612095881995
1,20,1,0.30000000000000004,elu,elu,adam,0.16964758653584644,5.897902071284752
2,20,1,0.0,elu,elu,adam,0.164069677508709,5.934586572216478
3,20,1,0.30000000000000004,elu,elu,adam,0.16601326399132674,5.972495060642524
4,20,1,0.2,elu,elu,adam,0.16850904589923232,6.007505234747793
5,20,1,0.30000000000000004,elu,elu,adam,0.17833513169892456,6.108489876323461
6,20,1,0.2,elu,elu,adam,0.1787143314511707,6.113467410506834
7,20,1,0.0,elu,elu,adam,0.1788735191516251,6.126191785016916
8,20,1,0.2,elu,elu,adam,0.20055508288165655,6.926813006278423
9,20,1,0.0,elu,elu,adam,0.16930971401552045,7.054437669045496
0,20,1,0.0,elu,elu,adam,0.16632866223575757,5.8892612095881995
1,20,1,0.30000000000000004,elu,elu,adam,0.16964758653584644,5.897902071284752
2,20,1,0.0,elu,elu,adam,0.17218281745591726,5.93095693461757
3,20,1,0.0,elu,elu,sgd,0.164069677508709,5.934586572216478
4,20,1,0.30000000000000004,elu,elu,adam,0.1693403542941829,6.215816284550893
5,20,1,0.30000000000000004,elu,elu,adam,0.16331075365943468,6.493255419943909
6,20,1,0.0,elu,elu,adam,0.17377527506392446,6.549235365006764
7,20,1,0.30000000000000004,elu,elu,adam,0.16174455008510258,6.601080362462463
8,20,1,0.30000000000000004,elu,elu,adam,0.16824211417904997,7.61582566155338
9,20,1,0.30000000000000004,elu,elu,adam,0.1801891456767379,8.156672756658603
0,20,1,0.0,elu,elu,adam,0.16632866223575757,5.8892612095881995
1,20,1,0.30000000000000004,elu,elu,adam,0.16964758653584644,5.897902071284752
2,20,1,0.30000000000000004,elu,elu,adam,0.17218281745591726,5.93095693461757
3,20,1,0.30000000000000004,elu,elu,adam,0.18010642211165157,6.255930434376797
4,20,1,0.0,elu,elu,adam,0.17534313753906586,6.509066938960774
5,20,1,0.30000000000000004,elu,elu,adam,0.16561227127135622,6.678975404282952
6,20,1,0.30000000000000004,elu,elu,adam,0.1891110318693929,6.862915082037739
7,20,1,0.30000000000000004,elu,elu,adam,0.162193947174401,6.981923124374012
8,20,1,0.30000000000000004,elu,elu,adam,0.16562632843657418,7.362106778946578
9,20,1,0.30000000000000004,elu,elu,adam,0.16937436512329815,7.691080223712661
0,20,1,0.0,elu,elu,adam,0.16632866223575757,5.8892612095881995
1,20,1,0.30000000000000004,elu,elu,adam,0.16964758653584644,5.897902071284752
2,20,1,0.0,elu,elu,adam,0.17717368771534442,6.079271613895991
3,20,1,0.30000000000000004,elu,elu,adam,0.17241274844041637,6.188270099220393
4,20,1,0.0,elu,elu,adam,0.16593782987083397,6.268595918319219
5,20,1,0.30000000000000004,elu,elu,adam,0.16587531433023328,6.5744395681953645
6,20,1,0.0,elu,elu,adam,0.17115332094893643,6.69714180358814
7,20,1,0.0,elu,elu,adam,0.17518122071443218,6.703027336565801
8,20,1,0.0,elu,elu,adam,0.17229611628254987,7.129223256717879
9,20,1,0.30000000000000004,elu,elu,adam,0.16146663601805744,7.223881659200872
0,20,2,0.0,elu,elu,adam,0.16632866223575757,5.8892612095881995
1,20,1,0.30000000000000004,elu,elu,adam,0.16964758653584644,5.897902071284752
2,20,1,0.0,elu,elu,adam,0.17717368771534442,6.079271613895991
3,20,1,0.30000000000000004,elu,elu,adam,0.16717155935680267,6.086955256302136
4,20,1,0.0,elu,elu,adam,0.17241274844041637,6.188270099220393
5,20,1,0.30000000000000004,elu,elu,adam,0.18431575369111763,6.197147147677988
6,20,1,0.0,elu,elu,adam,0.16593782987083397,6.268595918319219
7,20,1,0.0,elu,elu,adam,0.17262786604340158,6.314897378493418
