price,temperature,load
2.864,-5.199999999999999,2.1139975961422315
2.91,-5.400000000000002,2.0922933497975005
2.949,-5.199999999999999,2.0780142374226047
2.997,-4.899999999999999,2.0644912299644385
3.072,-4.400000000000002,2.043856439313709
3.147,-3.8999999999999986,2.020471708170219
3.19,-3.1000000000000014,2.0116534338863024
3.152,-2.6999999999999993,2.0287212194210817
3.132,-2.5,2.043322465109305
3.185,-2.1000000000000014,2.035332800222892
3.283,-1.5,2.007717928097518
3.462,-0.5,1.9483057902350815
3.518,-0.3000000000000007,1.9118064424108518
3.428,-0.6000000000000014,1.9326000475112117
3.335,-0.6000000000000014,1.9736011264494306
3.267,-1.0,2.0035990799162993
3.255,-1.3999999999999986,2.0102288978762597
3.184,-2.0,2.0279497078907363
3.06,-2.1000000000000014,2.073221987145108
3.075,-1.8999999999999986,2.0837220043131977
3.064,-1.8000000000000007,2.091742048613643
3.053,-1.6000000000000014,2.1004976158561948
3.054,-1.5,2.1041330631743
3.063,-1.3999999999999986,2.1037075733912687
3.07,-1.3999999999999986,2.1013277320469337
3.077,-1.0,2.106971313260189
3.058,-0.6999999999999993,2.128816184319295
3.075,-0.3999999999999986,2.151336443668971
3.109,-0.3999999999999986,2.157852942974756
3.193,-1.0,2.1126269035054763
3.099,-0.8000000000000007,2.1161165520481133
3.096,-0.1999999999999993,2.1420199771826596
3.087,0.6999999999999993,2.196713300294739
3.085,0.8999999999999986,2.2465517240509203
3.096,0.8000000000000007,2.337098367210721
3.16,0.8000000000000007,2.5418806496244772
3.184,1.6000000000000014,2.5316758057314828
3.146,1.5,2.551072254696621
3.115,1.6000000000000014,2.5313830792000767
3.083,1.6999999999999993,2.5113659293008506
3.095,1.8000000000000007,2.4918345438669895
3.055,1.5,2.55045450641267
2.989,1.3000000000000007,2.5894911859452123
2.956,1.0,2.649383114056576
2.911,0.6999999999999993,2.6956434540346375
2.899,0.1999999999999993,2.7734768506054475
2.916,0.0,2.811586355354249
2.971,-0.3000000000000007,2.791651764752106
3.041,-0.3999999999999986,2.7935990639688093
3.485,-0.5,2.820914535458997
4.312,-0.5,2.849173469213862
3.615,-0.3000000000000007,2.851569698323587
3.565,0.1999999999999993,2.8414255850954726
3.55,0.5,2.7731326027641834
3.396,0.6999999999999993,2.7230474592072205
3.311,0.8999999999999986,2.677731808681526
3.273,1.1999999999999993,2.6140058465877223
3.383,1.3000000000000007,2.594338082323229
3.612,1.5,2.5544885999962794
3.616,1.8000000000000007,2.4912239400155802
3.613,1.8999999999999986,2.4706023907943377
3.618,1.8999999999999986,2.4705812836509824
3.141,1.8999999999999986,2.472467174708207
3.05,1.6000000000000014,2.5311122285994436
3.007,1.6999999999999993,2.5112519112302873
2.957,1.8000000000000007,2.491962058762544
2.883,1.6999999999999993,2.5111472163979243
2.616,1.8999999999999986,2.4736868856254866
2.557,1.8000000000000007,2.4921777673504164
2.549,1.8000000000000007,2.492181761865129
2.557,2.0,2.467682410402831
